cycle,(LPC outlet temperature) (◦R),(LPT outlet temperature) (◦R),(HPC outlet pressure) (psia),(HPC outlet Static pressure) (psia),(Ratio of fuel flow to Ps30) (pps/psia),(Bypass Ratio) ,(Bleed Enthalpy),(High-pressure turbines Cool air flow),(Low-pressure turbines Cool air flow),RUL
77,642.55,1400.97,554.61,47.41,521.6,8.453,393,38.99,23.275,115
78,641.99,1404.1,553.47,47.4,522.28,8.3793,392,38.88,23.3486,114
79,642.12,1403.93,553.77,47.35,521.85,8.4132,394,38.9,23.3121,113
80,641.94,1393.58,553.91,47.64,521.52,8.4235,392,38.89,23.3613,112
81,642.73,1402.04,553.88,47.43,521.66,8.4247,392,38.77,23.373,111
82,642.04,1399.17,554.18,47.25,521.95,8.3986,393,38.89,23.2713,110
83,642.66,1406.38,553.49,47.22,521.93,8.4128,391,38.8,23.3274,109
84,642.64,1406.6,553.91,47.38,521.54,8.4139,392,38.73,23.2653,108
85,642.28,1405.96,554.4,47.36,522.3,8.4499,392,39.01,23.284,107
86,641.84,1403.56,553.69,47.38,521.82,8.4173,394,38.94,23.3945,106
87,642.33,1413.1,554.1,47.34,521.43,8.4326,391,38.88,23.3402,105
88,641.96,1406.09,554.48,47.46,522.2,8.4586,392,38.9,23.3086,104
89,642.24,1402.22,553.91,47.46,521.55,8.4489,392,38.95,23.3288,103
90,642.67,1412.93,552.88,47.32,521.49,8.3961,391,38.98,23.4712,102
91,641.98,1404.76,553.54,47.32,521.55,8.3949,394,39.11,23.3842,101
92,642.89,1400.77,553.81,47.45,521.91,8.3982,392,38.99,23.3522,100
93,642.85,1408.48,554.07,47.46,521.43,8.421,392,38.86,23.2477,99
94,642.45,1404.94,553.86,47.48,521.61,8.4524,393,38.85,23.3758,98
95,642.86,1410.1,553.91,47.38,521.92,8.4575,394,38.76,23.3269,97
96,642.19,1395.16,553.34,47.39,521.66,8.4311,392,38.88,23.3255,96
97,642.07,1407.81,553.4,47.46,521.67,8.4105,392,39.01,23.2963,95
98,642.0,1404.56,552.75,47.37,522.31,8.4012,391,38.96,23.2554,94
99,642.46,1406.13,553.76,47.4,521.42,8.4481,393,38.82,23.2323,93
100,642.22,1411.35,554.22,47.64,521.55,8.4241,392,38.93,23.409,92
101,642.75,1403.41,553.37,47.62,521.89,8.4353,391,38.75,23.4149,91
102,642.85,1403.42,553.42,47.49,521.38,8.4561,393,38.94,23.3653,90
103,642.21,1403.21,553.64,47.57,521.41,8.4263,392,38.69,23.4289,89
104,642.29,1406.25,553.66,47.34,522.38,8.4021,392,38.96,23.3393,88
105,642.01,1403.22,553.11,47.31,521.81,8.4326,393,38.77,23.3857,87
106,642.68,1404.45,553.6,47.44,521.51,8.4664,392,39.08,23.4148,86
107,642.53,1407.73,553.74,47.35,521.75,8.4241,396,39.01,23.4086,85
108,643.49,1399.47,554.43,47.61,521.52,8.4133,393,38.75,23.3032,84
109,642.49,1409.1,553.59,47.58,521.62,8.3757,394,39.05,23.3561,83
110,642.55,1401.27,554.08,47.55,522.01,8.4638,393,39.06,23.2951,82
111,642.67,1408.11,553.49,47.62,521.53,8.4447,392,38.92,23.2135,81
112,642.66,1401.84,553.19,47.22,521.9,8.4445,394,38.84,23.3207,80
113,642.68,1406.59,552.91,47.46,521.75,8.458,393,38.9,23.3101,79
114,642.31,1402.97,554.29,47.58,521.68,8.429,394,38.89,23.3754,78
115,642.66,1406.6,554.13,47.43,521.36,8.4345,393,38.93,23.3022,77
116,642.64,1401.99,554.4,47.43,521.6,8.4059,394,39.03,23.3512,76
117,642.38,1409.35,554.59,47.52,521.22,8.4256,391,38.73,23.1766,75
118,642.34,1409.34,554.25,47.55,521.31,8.4197,393,38.88,23.2966,74
119,642.67,1404.46,553.77,47.55,521.46,8.4194,394,39.01,23.3188,73
120,642.81,1407.68,553.66,47.6,521.34,8.4029,393,38.81,23.3061,72
121,642.63,1411.9,553.7,47.44,521.3,8.4263,394,38.63,23.422,71
122,643.3,1413.97,553.43,47.6,520.92,8.4256,393,38.86,23.2793,70
123,643.39,1403.04,552.64,47.41,521.6,8.4396,392,38.9,23.292,69
124,642.48,1402.28,552.26,47.55,521.4,8.4416,393,38.8,23.2341,68
125,642.96,1406.42,552.44,47.63,521.57,8.4079,394,38.68,23.3039,67
126,642.49,1418.5,553.72,47.49,521.35,8.4378,392,38.85,23.2289,66
127,642.99,1399.49,553.81,47.63,521.34,8.4626,393,38.91,23.2772,65
128,642.47,1407.06,552.74,47.62,521.96,8.4413,393,38.85,23.2641,64
129,642.41,1408.42,552.42,47.61,522.02,8.4681,393,38.84,23.2656,63
130,642.7,1412.25,552.66,47.46,521.49,8.3938,394,38.71,23.3461,62
131,643.01,1413.25,553.7,47.7,521.45,8.4328,391,38.73,23.3435,61
132,643.19,1405.76,553.16,47.56,521.64,8.4227,393,38.53,23.3186,60
133,642.45,1410.11,553.82,47.57,521.23,8.4604,394,38.95,23.2521,59
134,642.85,1402.67,553.2,47.75,521.52,8.4293,393,38.68,23.2833,58
135,642.45,1406.83,553.09,47.34,520.99,8.4242,392,38.85,23.2744,57
136,642.84,1404.39,554.18,47.43,521.54,8.4469,393,38.76,23.1699,56
137,642.43,1405.15,553.39,47.89,521.63,8.449,394,38.87,23.2593,55
138,642.79,1413.34,552.91,47.4,521.57,8.4208,392,39.0,23.3664,54
139,643.11,1412.6,553.25,47.67,521.03,8.4621,394,38.88,23.3422,53
140,643.05,1408.36,552.15,47.51,521.27,8.4397,393,38.82,23.3704,52
141,642.39,1415.25,553.45,47.49,521.06,8.4641,394,39.02,23.2382,51
142,642.51,1413.42,553.11,47.59,520.44,8.4291,392,38.71,23.2816,50
143,642.77,1404.21,553.62,47.52,520.98,8.4419,393,38.79,23.2305,49
144,643.09,1405.76,553.77,47.57,521.11,8.4601,393,38.75,23.2249,48
145,642.95,1409.63,553.03,47.54,521.13,8.4644,395,38.67,23.149,47
146,642.72,1408.82,552.6,47.63,521.13,8.4312,392,38.69,23.3233,46
147,642.25,1409.96,553.09,47.8,520.92,8.4428,393,38.77,23.2684,45
148,643.02,1411.89,552.84,47.49,521.08,8.4276,392,38.77,23.2498,44
149,642.9,1410.7,552.54,47.83,521.13,8.4731,394,38.77,23.2565,43
150,643.06,1409.22,553.57,47.6,520.5,8.4726,394,38.68,23.2082,42
151,642.82,1411.94,552.41,47.58,520.94,8.4612,394,38.56,23.2277,41
152,642.67,1420.83,552.62,47.72,520.39,8.4572,395,38.77,23.2369,40
153,642.99,1414.56,552.68,47.74,520.69,8.4435,393,38.78,23.1719,39
154,642.81,1416.07,552.57,47.73,520.72,8.4794,394,38.82,23.2366,38
155,642.83,1414.89,552.89,47.61,521.23,8.4729,394,38.68,23.2749,37
156,643.04,1421.23,553.24,47.58,520.75,8.4432,395,38.77,23.2791,36
157,642.2,1412.47,552.32,47.72,520.94,8.4328,392,38.67,23.2354,35
158,642.88,1410.09,553.19,47.68,520.88,8.4368,394,38.75,23.2894,34
159,642.89,1420.37,552.18,47.76,520.65,8.4403,394,38.76,23.253,33
160,643.45,1418.08,551.87,47.84,520.47,8.4433,396,38.52,23.2817,32
161,643.0,1417.31,552.8,47.77,520.47,8.4405,394,38.66,23.2962,31
162,643.15,1423.48,552.68,47.79,520.44,8.5015,394,38.78,23.1538,30
163,642.85,1421.09,552.41,47.89,520.3,8.5129,393,38.65,23.1419,29
164,643.17,1416.76,551.9,47.7,520.63,8.4803,394,38.62,23.1761,28
165,642.76,1408.09,552.79,47.89,520.69,8.4922,393,38.59,23.2129,27
166,643.34,1422.37,552.13,47.86,520.02,8.4663,395,38.62,23.145,26
167,643.02,1414.72,552.57,47.85,520.49,8.4632,394,38.77,23.3011,25
168,642.68,1415.7,552.09,47.84,520.78,8.4925,393,38.76,23.277,24
169,643.2,1418.05,552.71,47.88,520.44,8.4767,394,38.58,23.187,23
170,642.92,1417.41,552.02,47.86,520.23,8.49,395,38.66,23.1615,22
171,643.26,1414.99,552.71,48.03,519.85,8.4922,395,38.68,23.2444,21
172,643.33,1413.73,551.69,48.07,520.54,8.4595,393,38.65,23.1585,20
173,642.97,1425.27,552.13,47.9,520.11,8.5091,395,38.59,23.1789,19
174,642.64,1422.58,552.32,48.0,520.22,8.4476,393,38.57,23.0357,18
175,643.61,1422.52,551.64,47.86,520.38,8.489,394,38.58,23.1573,17
176,642.86,1422.73,551.91,47.84,519.8,8.4853,394,38.72,23.2491,16
177,643.79,1423.99,551.93,48.03,520.24,8.4779,396,38.63,23.1673,15
178,643.38,1424.65,552.18,48.0,520.2,8.477,395,38.65,23.177,14
179,642.86,1429.45,551.57,48.02,520.38,8.4947,395,38.77,23.1888,13
180,643.58,1417.14,552.91,47.85,519.84,8.4737,395,38.86,23.3222,12
181,643.44,1420.64,551.83,48.1,520.43,8.472,397,38.86,23.1652,11
182,642.5,1426.62,551.9,47.98,520.46,8.5158,397,38.43,23.1787,10
183,643.24,1419.03,551.38,48.03,520.05,8.5041,396,38.56,23.1302,9
184,642.5,1409.01,553.62,48.07,519.77,8.5133,395,38.43,23.3222,8
185,643.8,1424.4,551.64,48.15,519.82,8.4984,395,38.51,23.07,7
186,643.51,1426.3,552.57,48.12,520.08,8.5227,397,38.47,23.0564,6
187,643.32,1427.27,553.62,47.46,521.63,8.5218,396,38.42,23.0822,5
188,643.75,1422.78,551.94,48.0,519.79,8.5207,396,38.51,23.3222,4
189,642.5,1428.01,553.62,48.08,519.58,8.5183,395,38.48,23.1127,3
190,643.64,1425.95,551.29,47.46,520.04,8.5223,393,38.49,23.0675,2
191,643.34,1425.77,553.62,48.15,519.57,8.5174,394,38.45,23.1295,1
192,643.54,1427.2,551.25,47.46,520.08,8.5113,396,38.48,23.3222,0
1,641.89,1391.28,554.53,46.93,522.33,8.3905,391,38.94,23.4585,125
2,641.82,1393.13,554.77,47.24,522.7,8.4167,392,39.06,23.4085,125
3,641.55,1398.96,555.14,47.22,522.58,8.3802,391,39.11,23.425,125
4,641.68,1396.08,554.25,47.1,522.49,8.4018,391,39.13,23.5027,125
5,641.73,1402.52,555.12,47.25,522.27,8.3867,390,39.18,23.4234,125
6,642.5,1396.76,554.98,47.05,522.8,8.38,392,39.15,23.427,125
7,642.03,1400.65,554.84,47.1,522.14,8.3941,391,39.1,23.4718,125
8,642.55,1395.39,554.65,47.2,522.77,8.3861,391,39.11,23.4381,125
9,641.98,1395.01,554.69,47.14,522.4,8.3868,390,39.06,23.4875,125
10,641.99,1394.86,554.63,47.21,521.99,8.3982,391,39.2,23.3222,125
11,642.26,1401.29,554.7,47.21,522.2,8.4188,392,39.23,23.3888,125
12,641.64,1401.9,554.57,47.13,521.94,8.3925,392,39.12,23.4201,125
13,641.78,1401.53,554.69,47.03,522.33,8.3742,391,38.88,23.4317,125
14,641.66,1395.46,554.47,47.12,523.07,8.3887,391,38.93,23.4074,125
15,642.21,1402.11,554.17,47.17,521.96,8.3704,393,38.94,23.4311,125
16,641.81,1393.46,554.53,47.24,522.49,8.3805,392,39.01,23.4462,125
17,642.43,1390.27,553.62,47.13,522.71,8.3714,391,39.04,23.5245,125
18,641.95,1400.25,554.83,47.22,522.92,8.4053,391,39.0,23.4203,125
19,641.75,1401.77,555.25,47.14,522.38,8.4035,392,39.1,23.4102,125
20,642.34,1394.38,554.64,47.14,522.54,8.3698,391,39.02,23.3821,125
21,642.05,1392.28,554.72,47.04,522.58,8.3954,391,39.24,23.5014,125
22,642.16,1397.67,554.35,47.17,521.73,8.3792,391,38.98,23.4241,125
23,642.37,1387.5,554.69,47.21,522.26,8.3937,393,39.1,23.2867,125
24,641.99,1398.67,553.5,47.15,522.25,8.3866,391,39.18,23.3981,125
25,641.81,1396.62,554.14,47.19,522.31,8.3959,391,38.99,23.4883,125
26,641.87,1392.3,554.03,47.12,522.8,8.4309,391,38.96,23.4691,125
27,642.12,1402.31,555.16,47.03,522.11,8.4077,392,38.96,23.4275,125
28,642.04,1397.45,554.77,46.99,522.68,8.3734,390,38.95,23.4395,125
29,642.08,1398.08,554.75,47.11,522.26,8.37,390,38.97,23.4249,125
30,641.78,1395.07,554.62,47.2,522.43,8.419,391,39.1,23.3985,125
31,641.97,1390.94,554.8,47.05,522.17,8.4393,391,39.17,23.4154,125
32,641.58,1391.11,554.56,47.12,522.54,8.3783,390,38.97,23.4006,125
33,641.79,1396.15,553.62,47.09,522.26,8.4102,392,39.01,23.4434,125
34,642.12,1394.24,555.09,47.22,522.64,8.4188,390,38.87,23.4571,125
35,642.5,1392.55,554.73,47.25,522.0,8.4164,394,39.06,23.5283,125
36,642.5,1397.13,554.59,47.21,522.32,8.3709,391,39.12,23.3881,125
37,642.1,1396.29,555.01,47.16,522.69,8.3609,391,39.08,23.4047,125
38,642.22,1397.75,554.21,47.22,522.13,8.4069,390,39.09,23.4191,125
39,642.0,1391.49,554.05,47.2,522.79,8.3755,391,39.02,23.4489,125
40,642.02,1398.38,554.07,47.22,522.3,8.401,391,38.84,23.4402,125
41,642.41,1398.74,554.34,47.26,522.22,8.3856,392,38.94,23.3071,125
42,642.27,1392.13,553.98,47.14,522.87,8.4309,392,39.08,23.4631,125
43,642.02,1391.6,554.14,47.08,522.9,8.4144,392,38.92,23.4966,125
44,642.01,1398.69,554.16,47.22,522.77,8.4087,392,39.03,23.4546,125
45,642.05,1397.6,554.2,47.17,522.27,8.3847,390,38.99,23.4284,125
46,642.15,1392.6,554.54,47.19,522.08,8.3994,390,38.93,23.5041,125
47,642.4,1396.46,554.96,47.03,522.73,8.3756,391,38.89,23.3447,125
48,642.09,1397.95,554.67,47.18,522.41,8.3821,392,39.23,23.4336,125
49,642.85,1396.5,554.04,47.18,522.83,8.4024,390,39.17,23.4871,125
50,642.02,1399.78,554.73,47.16,522.16,8.4042,391,39.1,23.353,125
51,642.03,1393.06,555.02,47.03,522.34,8.3731,392,38.9,23.3239,125
52,641.52,1401.66,554.76,47.09,522.58,8.4064,392,39.08,23.3668,125
53,642.0,1397.09,554.33,46.98,522.73,8.411,391,38.95,23.5307,125
54,641.58,1405.33,554.42,47.1,522.48,8.4057,392,39.13,23.3626,125
55,642.33,1387.16,554.54,47.18,522.7,8.4077,392,39.11,23.3779,125
56,641.84,1388.97,554.72,47.03,522.1,8.393,391,39.1,23.3796,125
57,642.5,1389.62,553.87,47.17,521.98,8.4008,391,39.23,23.4544,125
58,642.3,1389.91,554.46,47.3,522.24,8.3731,391,39.15,23.3861,125
59,642.48,1397.95,554.6,47.17,522.78,8.4036,391,39.04,23.4347,125
60,642.09,1396.84,554.06,47.12,521.93,8.4003,393,39.11,23.3928,125
61,642.41,1399.71,555.08,47.09,522.69,8.4006,391,39.04,23.2745,125
62,641.81,1401.66,554.52,47.27,521.78,8.4193,391,39.23,23.4442,125
63,641.91,1395.05,554.63,47.17,522.15,8.3867,392,38.98,23.325,125
64,641.66,1401.46,554.93,47.11,522.18,8.4144,391,39.07,23.398,125
65,641.7,1395.4,554.28,47.34,522.52,8.4128,391,38.92,23.3455,125
66,642.26,1394.01,554.11,47.17,522.65,8.4121,392,39.0,23.426,125
67,642.17,1395.44,554.99,46.96,522.58,8.3761,393,39.02,23.3933,125
68,642.5,1399.27,554.07,47.16,522.2,8.4141,392,38.97,23.4076,125
69,642.73,1399.73,554.35,47.33,522.21,8.4116,392,39.09,23.3783,125
70,641.76,1397.3,554.47,47.26,522.17,8.4118,392,39.06,23.3894,125
71,642.39,1403.09,555.01,47.24,522.02,8.3993,392,38.92,23.317,125
72,642.48,1393.85,554.54,47.19,522.4,8.4012,392,39.12,23.4393,125
73,641.73,1400.98,554.41,47.15,522.95,8.3896,390,38.94,23.4567,125
74,642.39,1396.13,555.36,47.25,521.97,8.3932,391,39.07,23.4015,125
75,641.64,1390.64,555.45,47.09,522.54,8.3944,392,38.99,23.421,125
76,642.01,1399.66,554.05,46.99,522.08,8.3629,392,38.88,23.4591,125
77,641.97,1395.38,554.06,46.95,522.36,8.4399,392,39.01,23.4969,125
78,642.44,1394.24,554.83,47.12,522.57,8.4018,391,38.96,23.5367,125
79,641.62,1398.51,554.19,47.23,522.26,8.3931,390,39.15,23.2873,125
80,642.5,1394.0,554.94,47.2,521.63,8.3889,391,38.95,23.4198,125
81,641.72,1390.12,555.25,47.25,522.62,8.4162,391,39.08,23.4685,125
82,641.86,1402.78,554.17,47.19,522.3,8.4309,391,39.17,23.4491,125
83,641.73,1398.81,554.18,47.13,523.13,8.3997,390,39.0,23.4056,125
84,642.41,1402.26,554.86,47.29,522.75,8.394,392,38.95,23.4055,125
85,641.73,1398.33,554.5,47.19,522.63,8.3954,391,39.13,23.4072,125
86,641.85,1399.12,554.51,47.27,522.26,8.3958,391,38.87,23.4982,125
87,642.36,1399.51,554.77,47.26,522.59,8.3952,393,39.1,23.2916,125
88,642.23,1398.17,554.71,47.04,522.62,8.3851,391,39.06,23.4173,125
89,641.95,1394.07,554.18,47.18,522.42,8.4143,393,39.18,23.4148,125
90,642.06,1405.34,554.1,47.21,522.04,8.3922,390,38.9,23.4878,125
91,642.09,1399.47,553.79,47.15,522.48,8.4026,391,39.1,23.3972,125
92,642.36,1399.17,554.28,47.13,522.45,8.3919,392,38.81,23.2772,125
93,642.21,1392.48,553.92,47.24,522.52,8.4005,391,38.94,23.3075,125
94,642.1,1395.39,554.53,47.38,522.74,8.4075,392,39.15,23.4165,125
95,642.56,1402.79,553.99,47.06,522.37,8.3773,392,38.98,23.4318,125
96,642.42,1399.59,554.4,47.07,521.66,8.3698,392,38.92,23.3285,125
97,642.04,1400.5,554.42,47.19,522.22,8.4202,391,39.06,23.3578,125
98,641.73,1401.08,554.57,47.21,522.92,8.4115,391,39.08,23.5011,125
99,642.04,1400.97,554.43,47.13,522.5,8.4179,393,39.15,23.3414,125
100,642.04,1402.72,554.48,47.21,522.01,8.4107,390,38.85,23.331,125
101,641.96,1397.81,555.07,47.37,522.4,8.3835,392,38.93,23.4257,125
102,642.44,1407.05,554.44,47.19,522.05,8.4052,391,38.92,23.3453,125
103,642.05,1392.16,554.44,47.23,522.36,8.4148,392,39.12,23.4403,125
104,642.41,1397.31,554.91,47.26,522.18,8.4037,390,39.03,23.4053,125
105,641.94,1397.45,554.81,47.32,522.11,8.4056,392,39.0,23.3467,125
106,641.87,1402.62,553.96,47.32,522.11,8.3727,393,39.09,23.4154,125
107,642.52,1402.93,554.21,47.16,522.34,8.3723,393,39.13,23.5191,125
108,642.24,1396.25,554.29,47.23,522.27,8.3978,391,38.75,23.4441,125
109,642.12,1392.9,553.72,47.28,522.0,8.4061,391,39.1,23.3497,125
110,642.29,1398.47,554.5,47.31,522.27,8.3723,391,39.06,23.3997,125
111,642.24,1393.76,554.42,47.18,522.32,8.4437,392,39.16,23.4703,125
112,642.49,1397.2,554.33,47.37,522.23,8.4025,392,39.06,23.3444,125
113,641.95,1404.74,554.07,47.23,522.1,8.3994,391,39.12,23.5029,125
114,642.13,1397.05,555.1,47.19,522.13,8.4119,391,39.06,23.3784,125
115,642.16,1401.33,554.37,47.14,522.1,8.395,390,38.89,23.313,125
116,642.38,1398.39,554.45,47.01,522.48,8.3895,391,38.96,23.4542,125
117,641.97,1395.4,554.6,47.23,522.39,8.4365,392,39.05,23.432,125
118,641.95,1400.99,553.96,47.11,522.23,8.3735,392,39.04,23.2912,125
119,642.67,1401.87,554.32,47.24,522.21,8.4236,392,38.74,23.3731,125
120,642.01,1394.39,554.42,47.22,521.62,8.3666,391,39.18,23.4077,125
121,642.04,1391.52,554.51,47.28,522.31,8.4134,392,39.09,23.3381,125
122,642.08,1405.27,553.82,47.23,521.96,8.3783,392,38.88,23.3284,125
123,642.11,1403.23,554.31,47.21,522.14,8.3887,391,38.86,23.4492,125
124,642.37,1399.26,554.58,47.06,522.64,8.4049,392,39.03,23.3364,125
125,642.71,1397.94,554.81,47.31,522.23,8.4012,391,39.09,23.3785,125
126,642.07,1403.41,554.03,47.28,521.95,8.4243,392,38.91,23.3592,125
127,642.26,1400.81,554.08,47.21,522.2,8.4476,391,39.08,23.34,125
128,641.54,1397.34,554.16,47.2,522.36,8.4098,392,39.05,23.3966,125
129,641.66,1400.25,554.6,47.23,522.19,8.3986,392,38.96,23.4331,125
130,642.06,1409.98,554.42,47.26,522.4,8.4145,391,38.92,23.3645,125
131,641.96,1394.26,554.88,47.36,522.37,8.4074,392,39.02,23.4016,125
132,642.01,1398.78,554.4,47.12,522.25,8.4102,390,38.91,23.313,125
133,642.84,1393.87,554.21,47.18,521.71,8.4054,392,38.89,23.2668,125
134,642.76,1406.2,553.88,47.17,521.95,8.381,390,38.95,23.3367,125
135,642.02,1404.56,554.52,47.34,522.13,8.4108,392,38.91,23.3992,125
136,642.06,1402.67,554.5,47.09,521.86,8.3889,393,39.0,23.4236,125
137,642.46,1406.79,554.42,47.39,522.21,8.369,391,38.98,23.3517,125
138,642.34,1398.95,555.03,47.16,521.73,8.4125,392,38.82,23.4346,125
139,642.63,1400.87,554.24,47.3,522.61,8.3919,391,38.94,23.4316,125
140,642.29,1403.14,554.86,47.32,522.49,8.4243,392,39.01,23.474,125
141,642.07,1403.25,554.7,47.43,522.5,8.4254,393,39.02,23.4038,125
142,641.91,1401.27,554.18,47.3,522.18,8.3936,391,39.0,23.4716,125
143,642.31,1400.49,554.05,47.3,521.73,8.423,393,38.82,23.4197,125
144,642.02,1401.21,553.96,47.32,522.11,8.3836,392,39.19,23.3494,125
